OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
21545,Yale POP_MASTER,SGC-018,NA,0,SRP-SGC-018,862,Dari,1,1372.311035,35.8836,66.459,SRP,SGC,Akhpe,2007,Sancharak(sangchark),???????,Sar-e-Pul,????,20
23422,Yale POP_MASTER,KHS-053,NA,0,KST-KHS-053,862,Pashto,2,1194.792969,33.35,69.9244,KST,KHS,Gangena,2601,Khost(Matun),( ????(????,Khost,????,26
27477,Yale POP_MASTER,PAM-035,NA,0,NGR-PAM-035,1504,Pashto,2,1863.011963,34.0805,70.2343,NGR,PAM,Mar Khani,612,Pachieragam,????????,Nangarhar,???????,6
29178,Yale POP_MASTER,CDA-031,NA,0,KUN-CDA-031,862,Pashto,2,1908.80603,34.9143,70.6802,KUN,CDA,Ghundi Degul,1313,Chapadara,??? ???,Kunar,??? ??,13
29179,Yale POP_MASTER,CDA-076,NA,0,KUN-CDA-076,862,Pashto,2,2113.214111,34.8976,70.6698,KUN,CDA,Sara China Degul,1313,Chapadara,??? ???,Kunar,??? ??,13
33686,Yale POP_MASTER,CAB-039,NA,0,TKR-CAB-039,862,Dari,1,1641.781982,37.3944,69.9014,TKR,CAB,Gazan Gozar Harshi Man,1610,Chahab,??? ??,Takhar,????,16
6569,Yale POP_MASTER,MOQ-090,NA,0,BDG-MOQ-090,861,Pashto,2,1009.085999,34.9774,63.2932,BDG,MOQ,Buz Bai Sufla,2902,Muqur,???,Badghis,??????,29
10786,CSO AIMS Villages (ACSOR),QSR-241,NA,0,FYB-QSR-241,861,Uzbek,3,1190.161011,35.66869,64.25414,FYB,QSR,Haidar Khan (2),2806,Qaysar,?????,Faryab,??????,28
11579,Yale POP_MASTER,KAR-069,NA,0,DYK-KAR-069,1228,Dari,1,2947.284912,33.8979,65.6231,DYK,KAR,Gham Qoul,2203,Khadir,????,Daykundi,???????,22
17988,Yale POP_MASTER,DLY-051,NA,0,GOR-DLY-051,2792,Dari,1,2575.094971,34.539,65.7766,GOR,DLY,Dawlatyar,2104,Dawlatyar,???? ???,Ghor,???,21
